feature,importance
numeric__recent7_disconnections,0.11399364833336977
numeric__recent7_disconnection_hours,0.07972306755056213
numeric__recent28_disconnections,0.07155186967523787
numeric__previous21_disconnections,0.06392166520739137
numeric__recent28_disconnection_hours,0.05895094503823754
numeric__previous21_disconnection_hours,0.058456260166061494
numeric__recent7_no_conn_importance_mean,0.038055407755968926
numeric__recent28_no_conn_importance_mean,0.031404518004649516
numeric__recent7_offline_mean_sec,0.03079526423826917
numeric__recent7_offline_hours,0.027597347963264223
numeric__recent7_coverage_ratio,0.023025879221185652
numeric__recent7_hours,0.02258593553181683
numeric__recent28_offline_mean_sec,0.021035954641510476
numeric__recent28_offline_hours,0.020054867128896273
numeric__previous21_no_conn_importance_mean,0.019924457348120077
numeric__previous21_hours,0.01754688291788621
numeric__meter_success_min,0.0153101030204714
numeric__recent28_hours,0.013749453194498098
numeric__trend_disconnections,0.01286829385438534
numeric__recent7_rx_packets,0.01271809279296638
numeric__meter_success_mean,0.010719906490649604
numeric__recent7_crc_bad,0.010542864556996653
numeric__previous21_offline_hours,0.010485670161691258
numeric__meter_success_std,0.010290154835578795
numeric__recent28_coverage_ratio,0.009411008850499275
numeric__recent28_rx_packets,0.008787698955893914
numeric__previous21_offline_mean_sec,0.008676887233116989
numeric__recent28_rssi_good,0.007958189642524857
numeric__recent28_crc_bad,0.007695057665604368
numeric__previous21_coverage_ratio,0.006569814441847103
numeric__recent7_rssi_good,0.005927804996384473
numeric__previous21_rssi_good,0.005798168890859836
numeric__previous21_rssi_good_rate,0.005666424192473382
numeric__ratio_disconnections,0.005572955877844496
numeric__trend_offline_hours,0.0055508839555980394
numeric__recent28_rssi_good_rate,0.0051175460396571375
numeric__recent7_rssi_good_rate,0.004646717760131008
numeric__previous21_crc_bad,0.004594112692444266
numeric__ratio_offline_hours,0.004485389175963371
numeric__recent28_offline_max_sec,0.004381994630227706
numeric__previous21_rx_packets,0.004152430583762085
numeric__recent7_reboot_importance_mean,0.0038450242060851293
numeric__recent28_reboot_duration_sec,0.0037052352747618915
numeric__recent28_rssi_bad,0.003455208120267137
